id,l_id,Building,Address,Apt,AptSize,Bathrooms,MaxOccupants,Sqft,NumberConnect,5/27/11,6/27/11,8/2/11,8/30/11,9/29/11,10/27/11,11/28/11,1/26/12,3/6/12,4/3/12,4/16/12,5/1/12,5/8/12,5/22/12,6/5/12,6/19/12,7/3/12,7/17/12,7/31/12,8/14/12,8/28/12,9/11/12,9/25/12,10/11/12,10/25/12,11/15/12,12/6/12,2/21/13,3/14/13,4/4/13,4/18/13,5/2/13,5/16/13,5/30/13,6/13/13,7/1/13,7/15/13,7/29/13,8/12/13,8/26/13,9/16/13,9/27/13,10/11/13,10/25/13,11/8/13,11/22/13,12/6/13
3300310,,Sawtelle,3300,310,2,2,4,910,2,33988,"34,303","34,552",34826,35130,35444,35853,36474,36560,36568,36595,36702,36739,36834,36938,37123,37370,37558,37637,37777,37960,37991,38023,38058,38086,38385,38578,39475,39700,39962,40147,40211,40222,40239,40275,40319,40335,40352,40367,40380,40415,40487,40684,40859,41057,41075,41196
3300311,,Sawtelle,3300,311,2,2,4,915,2,24821,"25,012","25,073",25226,25453,25623,25701,26215,26418,26586,26676,26768,26799,26901,27009,27125,27204,27251,27332,27506,27715,27770,27859,28003,28111,28254,28388,29017,29154,29302,29406,29511,29628,29730,29854,29924,29948,29971,29991,30013,30300,30337,30538,30618,30842,30995,31113
3300312,,Sawtelle,3300,312,2,2,4,910,2,29461,"29,825","30,050",30369,30588,30827,31083,31529,31849,32049,32181,32306,32359,32481,32598,32716,32824,32863,33022,33192,33342,33565,33750,33929,34089,34201,34512,35975,36251,36504,36665,36810,36974,37163,37339,37611,37802,37988,38240,38495,38835,39009,39270,39421,39543,39661,39812
3310101,,Sawtelle,3310,101,2,2,4,910,2,26721,"26,874","27,093",27429,27726,27922,28147,28699,29015,29232,29311,29404,29451,29557,29708,29850,30035,30245,30467,30736,31003,31287,31528,31588,31613,31641,31667,31960,32044,32112,32153,32195,32242,32282,32324,32369,32403,32444,32481,32523,32631,32662,32727,32806,32855,32967,33060
3310102,,Sawtelle,3310,102,2,2,4,915,2,31639,"31,859","32,201",32784,33074,33410,33732,34228,34567,34783,34872,34901,34912,34934,34981,35074,35228,35408,35656,35871,36135,36367,36636,36867,37056,37246,37459,38222,38489,38650,38757,38854,38970,39073,39172,39308,39518,39681,39824,39916,40146,40288,40439,40547,40677,40818,40964
3310103,41,Sawtelle,3310,103,2,2,4,910,2,,,,17901,18088,18331,18618,19181,19477,19670,19766,19862,19913,19989,20064,20144,20245,20359,20454,20591,20713,20760,20898,21021,21111,21253,21368,22155,22336,22487,22581,22670,22761,22876,22977,23109,23215,23314,23398,23440,23517,23560,23641,23717,23796,23869,23941
3310104,,Sawtelle,3310,104,2,2,4,915,2,23605,"23,699","23,822",23988,24054,24141,24248,24495,24688,24805,24857,24900,24926,24988,25048,25120,25181,25226,25268,25357,25449,25572,25694,25829,25929,26042,26141,26532,26602,26634,26651,26669,26691,26744,26792,26877,26932,26991,27063,27128,27281,27336,27428,27489,27556,27624,27685
3310105,,Sawtelle,3310,105,2,2,4,915,2,38819,"39,269","39,733",40439,40776,41065,41386,41808,42329,42625,42669,42708,42729,42772,42834,42899,42983,43065,43145,43219,43278,43354,43430,43501,43572,43675,43796,44060,44181,44331,44444,44587,44782,44964,45163,45497,45744,45942,46140,46339,46647,46782,46960,47115,47365,47434,47571
3310106,,Sawtelle,3310,106,2,2,4,915,2,37503,"37,657","37,727",37880,38127,38302,38500,38886,39118,39270,39336,39401,39428,39484,39536,39592,39677,39770,39870,39945,40054,40163,40286,40459,40559,40719,40925,41709,41892,42109,42216,42375,42511,42682,42849,42954,43048,43128,43147,43271,43412,43466,43540,43614,43684,43753,43810
3310107,,Sawtelle,3310,107,2,2,4,915,2,22681,"22,910","23,258",23772,23997,24224,24485,25063,25475,25718,25845,25968,26029,26107,26169,26205,26229,26251,26274,26296,26318,26458,26645,26797,26896,27036,27161,27643,27753,27860,27928,27993,28066,28185,28233,28316,28384,28439,28501,28553,28654,28704,28767,28839,28926,28995,29060
3310108,,Sawtelle,3310,108,2,2,4,910,2,21589,"21,736","21,888",22133,22188,22267,22410,22740,22925,23042,23100,23158,23188,23248,23306,23368,23424,23486,23542,23581,23641,23698,23760,23816,23862,23935,24005,24358,24411,24465,24502,24544,24592,24635,24688,24753,24811,24873,24932,24990,25095,25140,25194,25237,25278,25321,25366
3310109,,Sawtelle,3310,109,2,2,4,918,2,26366,"26,452","26,521",26892,27117,27367,27635,28014,28333,28571,28707,28847,28914,29061,29134,29189,29291,29369,29426,29550,29776,29989,30210,30480,30684,30978,31259,32051,32309,32553,32736,32939,33114,33160,33209,33244,33310,33368,33466,33529,33635,33695,33850,34042,34252,34475,34786
3310110,,Sawtelle,3310,110,2,2,4,910,2,25823,"25,960","26,137",26559,26732,26903,27124,27627,27886,28060,28131,28211,28247,28326,28404,28478,28555,28622,28685,28752,28819,28893,28969,29071,29177,29334,29498,30223,30382,30525,30612,30705,30794,30865,30942,31029,31098,31179,31219,31230,31392,31447,31533,31613,31717,31830,32025
3310201,,Sawtelle,3310,201,2,2,4,910,2,37100,"37,394","37,746",38277,38574,38835,39131,39604,40042,40316,40455,40598,40671,40817,40963,41102,41224,41383,41455,41486,41512,41609,41747,41886,41991,42146,42272,42811,42941,43046,43124,43205,43313,43434,43541,43690,43833,43874,43914,43956,44048,44136,44252,44355,44452,44550,44649
3310202,,Sawtelle,3310,202,2,2,4,915,2,37454,"37,556","37,762",38028,38143,38279,38424,38660,38811,38943,39000,39052,39078,39134,39198,39273,39336,39408,39472,39548,39623,39701,39806,39914,39993,40137,40277,40703,40792,40895,40964,41010,41070,41120,41190,41278,41359,41419,41493,41563,41678,41715,41792,41856,41929,42003,42075
3310203,,Sawtelle,3310,203,2,2,4,910,2,23212,"23,389","23,572",23879,24048,24218,24428,24848,25088,25261,25344,25422,25457,25527,25593,25669,25739,25811,25881,25953,26025,26103,26193,26281,26366,26493,26630,27198,27222,27338,27412,27486,27564,27634,27712,27796,27857,27913,27974,28038,28116,28150,28219,28292,28368,28446,28526
3310204,,Sawtelle,3310,204,2,2,4,915,2,19666,"19,757","19,892",20111,20261,20401,20558,20891,21152,21326,21415,21483,21497,21520,21541,21598,21653,21725,21803,21949,22102,22316,22565,22809,23029,23225,23392,23930,24048,24214,24312,24401,24585,24596,24683,24867,24942,25001,25227,25473,25843,25992,26181,26356,26525,26693,26838
3310205,,Sawtelle,3310,205,2,2,4,915,2,19642,"19,821","20,020",20311,20460,20633,20813,21165,21391,21580,21670,21760,21802,21886,21966,22052,22139,22224,22312,22399,22483,22544,22610,22709,22793,22913,23015,23507,23621,23733,23813,23884,23963,24038,24110,24220,24391,24455,24514,24662,24931,25003,25139,25240,25340,25437,25568
3310206,,Sawtelle,3310,206,2,2,4,915,2,24931,"25,204","25,579",26281,26683,26998,27271,27760,28173,28416,28543,28675,28757,28953,29158,29372,29595,29821,30085,30359,30643,30944,31201,31506,31762,32087,32346,33262,33546,33855,34067,34284,34535,34784,35054,35408,35677,35942,36166,36454,36944,37156,37398,37664,37896,38086,38299
3310207,42,Sawtelle,3310,207,2,2,4,915,2,14634,"14,725","14,887",15201,15330,15410,15516,15852,16056,16225,16282,16323,16336,16385,16417,16431,16445,16608,16809,17199,17661,17127,17575,18087,18353,18395,18416,19505,20103,20734,21072,21171,21313,21508,21847,21869,21896,21903,21946,22032,22410,22689,23068,23166,23357,23574,23711
3310208,,Sawtelle,3310,208,2,2,4,910,2,28195,"28,315","28,537",28850,29052,29271,29668,30394,30687,30999,31145,31268,31334,31455,31571,31680,31782,31889,31990,32086,32175,32278,32379,32495,32619,32818,33042,34251,34535,34719,34743,34757,34836,34915,34952,35006,35098,35187,35289,35357,35546,35607,35715,35808,35907,36003,36195
3310209,,Sawtelle,3310,209,2,2,4,918,2,19848,"20,051","20,568",21520,22045,21891,22810,23524,23950,24280,24438,24591,24634,24803,24988,25195,25414,25650,25899,26196,26549,26861,27155,27425,27658,27980,28272,29010,29213,29417,29565,29621,29900,30067,30191,30468,30639,30803,30954,31115,31479,31654,31730,31865,32022,32146,32269
3310210,,Sawtelle,3310,210,2,2,4,910,2,21286,"21,390","21,414",21670,21790,21920,22041,22358,22533,22653,22695,22746,22771,22819,22880,22930,22986,23044,23091,23209,23315,23432,23598,23713,23796,23939,24066,24718,24886,24986,25078,25158,25279,25356,25446,25565,25608,25619,25656,25733,25870,25941,26054,26181,26308,26448,26614
3310301,,Sawtelle,3310,301,2,2,4,910,2,27142,"27,220","27,370",27595,27748,27887,28071,28601,28876,29054,29122,29155,29169,29202,29236,29268,29301,29322,29397,29568,29750,30008,30254,30512,30698,30886,31053,31493,31634,31736,31819,31913,32060,32167,32341,32646,32892,33189,33262,33344,33427,33445,33466,33487,33511,33552,33590
3310302,,Sawtelle,3310,302,2,2,4,915,2,38366,"38,972","39,123",39216,39592,40238,40953,41655,42521,43063,43347,43638,43788,44169,44511,44656,44704,44752,44802,44851,44902,45111,45373,45501,45598,45763,45909,46339,46474,46505,46695,46794,46876,46964,47125,47175,47200,47238,47275,47321,47610,47665,47763,47857,47954,48066,48183
3310303,,Sawtelle,3310,303,2,2,4,910,2,12933,"13,024","13,095",13201,13260,13345,13454,13647,13763,13851,13897,13935,13950,13980,14011,14038,14065,14095,14126,14176,14219,14260,14296,14346,14401,14461,14516,14660,14669,14696,14774,14850,14904,14956,15007,15103,15176,15224,15280,15355,15513,15559,15621,15681,15736,15806,15876
3310304,,Sawtelle,3310,304,2,2,4,915,2,22185,"22,319","22,485",22668,22790,22886,22994,23250,23420,23524,23577,23629,23655,23705,23754,23806,23863,23915,23970,24046,24132,24222,24308,24391,24458,24546,24641,24893,24910,24929,24961,24990,25041,25076,25112,25188,25218,25346,25439,25527,25693,25865,26108,26332,26521,26736,26876
3310305,,Sawtelle,3310,305,2,2,4,915,2,26458,"26,686","26,995",27436,27676,27924,28284,29094,29432,29502,29560,29608,29638,29699,29758,29814,29868,29928,29996,30067,30131,30158,30178,30270,30376,30526,30659,31176,31332,31480,31582,31678,31733,31867,31960,32092,32183,32265,32357,32428,32573,32649,32749,32852,32948,33040,33118
3310306,,Sawtelle,3310,306,2,2,4,915,2,23541,"23,682","23,941",24273,24500,24678,24872,25251,25521,25699,25772,25849,25896,25971,26056,26142,26236,26345,26472,26672,26862,27067,27283,27407,27439,27472,27502,27864,28050,28171,28244,28317,28399,28453,28523,28615,28683,28746,28795,28848,29035,29073,29128,29195,29263,29322,29389
3310307,,Sawtelle,3310,307,2,2,4,915,2,49080,"49,292","49,721",50422,50762,51034,51423,52241,52738,53117,53278,53423,53500,53672,53860,54040,54068,54096,54296,54573,54825,54987,55250,55520,55717,56005,56289,57756,58098,58361,58541,58720,58918,59140,59350,59655,59880,60032,60240,60449,60703,60864,61081,61259,61441,61621,61832
3310308,,Sawtelle,3310,308,2,2,4,910,2,25892,"26,006","26,151",26353,26462,26565,26684,26915,27254,27497,27603,27716,27760,27871,27969,28089,28200,28291,28397,28552,28715,28891,29061,29207,29328,29495,29707,30546,30734,30911,31058,31183,31334,31451,31578,31746,31879,32019,32125,32262,32507,32608,32738,32863,32990,33111,33225
3310309,,Sawtelle,3310,309,2,2,4,918,2,31809,"32,027","32,302",32636,32877,33075,33344,33892,34211,34435,34543,34645,34702,34809,34912,35007,35106,35219,35345,35510,35681,35771,35858,35907,36013,36167,36334,37043,37256,37451,37568,37666,37776,37894,38058,38328,38530,38554,38585,38603,38758,38861,38979,39061,39151,39247,39375
3310310,,Sawtelle,3310,310,2,2,4,910,2,23508,"23,671","23,836",24029,24223,24375,24548,24978,25315,25526,25564,25585,25595,25618,25641,25664,25704,25779,25830,25920,26012,26109,26192,26302,26397,26512,26632,27154,27295,27429,27494,27560,27629,27697,27766,27859,27886,27910,27975,28053,28191,28263,28356,28436,28536,28621,28718
3320101,,Sawtelle,3320,101,2,2,4,910,2,21394,"21,442","21,622",21871,22018,22153,22312,22606,22824,22984,23061,23135,23173,23245,23317,23397,23479,23555,23627,23707,23779,23851,23923,24004,24058,24138,24276,25105,25301,25499,25614,25736,25966,26071,26166,26292,26383,26476,26565,26656,26831,26904,27002,27089,27193,27284,27381
3320102,,Sawtelle,3320,102,2,2,4,915,2,19541,"19,715","19,902",20159,20328,20483,20688,21263,21583,21810,21912,22099,22140,22230,22230,22302,22378,22459,22543,22582,22599,22791,22830,22852,22870,22935,23039,23434,23488,23565,23628,23692,23748,23811,23878,23989,24072,24145,24222,24280,24494,24551,24622,24698,24753,24767,24884
3320103,,Sawtelle,3320,103,2,2,4,910,2,28390,"28,683","29,060",29696,30023,30314,30701,30787,30868,30950,30999,31041,31064,31119,31168,31247,31306,31367,31429,31474,31569,31698,31839,31942,32037,32226,32408,33156,33413,33603,33720,33821,33946,34062,34174,34321,34422,34537,34626,34720,34928,34984,35032,35052,35096,35132,35171
3320104,,Sawtelle,3320,104,2,2,4,915,2,32933,"33,376","33,963",34848,35271,35388,35438,35675,35855,35988,36064,36152,36193,36322,36450,36587,36669,36787,36916,37029,37143,37302,37482,37634,37751,37910,38023,38429,38544,38656,38724,38794,38900,39011,39129,39242,39262,39405,39522,39660,39926,40020,40131,40224,40297,40376,40461
